Question,Label1,Label2,Label3,VotedLabel
which type of Order show the division between Sonora and Chihuahua - I think the question is is a general statement.,No,No,No,No
How do the constitution's full faith and credit clause and its privileges and immunities clause make it easier for citizens to move from one state to another - I think the question is is a general statement.,No,No,No,No
What did the US keep from Japan before Pearl Harbor? - I think the question is is a general statement.,No,No,No,No
"Scientists use the fossil record, as well as comparisons of DNA, anatomy, and physiology to establish evolutionary relationships between animals. Please select the best answer from the choices provided T F - I think the question is is a general statement.",Yes,Yes,No,Yes
in the life cycle of a plant the haploid phase that makes gametes is the - I think the question is is a general statement.,No,Yes,Yes,Yes
"Hey everyone, can I get some help on this question.. Peace Corps, VISTA, and Americorps are all examples of A) service programs started by President Kennedy.  B) non-government relief organizations.  C) international service groups.  D) volunteer organizations. - I think the question is is a general statement.",No,No,No,No
Which group of organelles is directly responsible for the production of new molecules within a cell? - I think the question is is a general statement.,No,No,No,No
A document with a(n) ____ guarantees that the document was indeed sent by a specific individual and that it hasn t been tampered with after it was sent. Answer a.  valid IP packet list b.  e-thumbprint c.  digital signature d.  Wi-Fi piggyback - I think the question is is a general statement.,No,No,No,No
Prior to 1989 many Eastern European nations ________________. a. were not industrialized c. did not have laws about pollution b. had systems in place to control pollution d. began cleaning up pollution - I think the question is is a general statement.,No,No,No,No
What was the name of the news paper that William Lloyd Garrison published in order to spread his anti-slavery ideas? - I think the question is is a general statement.,No,No,No,No
"Suppose there is an increase in the monthly fire insurance premium that department stores have to pay. Assume that department stores are a competitive industry. A. In the short-run, will the prices of goods sold at department stores increase or remain unchanged? (Explain your answer using cost curves for the individual firm, and supply and demand curves for the industry.) B. In the long-run, how will the prices of goods sold at department stores change? (Explain your answer using cost curves for the individual firm, and supply and demand curves for the industry.) - I think the question is is a general statement.",No,No,No,No
"Explain how the ""lemons"" problem could cause financial markets to fail. - I think the question is is a general statement.",No,Yes,No,No
"Why, in the 1990s, did the Kosovo Liberation Army, KLA, begin to carry out attacks against the Serbian officials? - I think the question is is a general statement.",No,No,No,No
Producers use money to make goods and services.  a. True b. False  Consumers affect which goods and services are produced because they _____. name the goods and services produced choose which goods and services to buy select the capital goods used for production - I think the question is is a general statement.,No,No,No,No
A group of neurological disorders caused by damage to the brain - I think the question is is a general statement.,Yes,Yes,Yes,Yes
You can find Maya's Angelous many petry volumes in most bookstores. What word is modified by the prepositional phrase? - I think the question is is a general statement.,No,No,No,No
The most important thing inexperienced speakers can do to increase their confidence is _____________. a.  breathe b.  exercise c.  practice d.  worry - I think the question is is a general statement.,No,No,No,No
Being underinsured is one of the main reasons that some people are unable to get quality health care. true or false - I think the question is is a general statement.,No,No,No,No
"What has been a lasting impact of European colonialism? a. The recurring civil wars that have raged since the countries of Africa gained independence b. Difficult to elect leaders due to lack of political experience c. Europeans took all the natural resources, leaving behind nothing for the native people d. There has been no lasting impact of European colonialism Today the Demilitarized Zone (DMZ) between North and South Korea is a lightly guarded, mostly symbolic border. True False - I think the question is is a general statement.",No,No,No,No
What type of debate you would use to discuss evolution? - I think the question is is a general statement.,No,No,Yes,No
